Date,Country,Industry_std,Sales_index
2006-01-01,Australia,Department Stores,88.18595683144986
2006-01-01,Australia,Nonstore / Online,64.76969978613502
2006-01-01,Australia,Supermarkets & Grocery,61.70362560255474
2006-01-01,Great Britain,Building Materials & Garden,80.51603138147225
2006-01-01,Great Britain,Clothing & Footwear,70.95355365
2006-01-01,Great Britain,Department Stores,65.29804869692391
2006-01-01,Great Britain,Electronics & Appliances,94.82229133730635
2006-01-01,Great Britain,Nonstore/Online,37.93275802017703
2006-01-01,Great Britain,Supermarkets & Grocery,67.96196700310068
2006-01-01,New Zealand,Building Materials & Garden,99.86749064812318
2006-01-01,New Zealand,Clothing & Footwear,84.90100859170714
2006-01-01,New Zealand,Department Stores,83.68185799959569
2006-01-01,New Zealand,Nonstore / Online,57.24360061027293
2006-01-01,New Zealand,Supermarkets & Grocery,99.66066328735076
2006-01-01,United States,Building Materials & Garden,111.9820692997335
2006-01-01,United States,Clothing & Footwear,111.9820692997335
2006-01-01,United States,Department Stores,111.9820692997335
2006-01-01,United States,Electronics & Appliances,111.9820692997335
2006-01-01,United States,Nonstore / Online,111.9820692997335
2006-01-01,United States,Supermarkets & Grocery,111.9820692997335
2006-02-01,Australia,Clothing & Footwear,71.6643050996522
2006-02-01,Australia,Department Stores,91.72727759627232
2006-02-01,Australia,Nonstore / Online,65.06166561640069
2006-02-01,Australia,Supermarkets & Grocery,62.30188539417437
2006-02-01,Great Britain,Building Materials & Garden,79.21738164795713
2006-02-01,Great Britain,Clothing & Footwear,71.23733156122822
2006-02-01,Great Britain,Department Stores,65.03218819454268
2006-02-01,Great Britain,Electronics & Appliances,93.54893750944647
2006-02-01,Great Britain,Nonstore/Online,37.78332779946749
2006-02-01,Great Britain,Supermarkets & Grocery,68.58136416852228
2006-02-01,New Zealand,Building Materials & Garden,99.86749064812318
2006-02-01,New Zealand,Clothing & Footwear,84.90100859170714
2006-02-01,New Zealand,Department Stores,83.68185799959569
2006-02-01,New Zealand,Nonstore / Online,57.24360061027293
2006-02-01,New Zealand,Supermarkets & Grocery,99.66066328735076
2006-02-01,United States,Building Materials & Garden,108.4686212745336
2006-02-01,United States,Clothing & Footwear,108.4686212745336
2006-02-01,United States,Department Stores,108.4686212745336
2006-02-01,United States,Electronics & Appliances,108.4686212745336
2006-02-01,United States,Nonstore / Online,108.4686212745336
2006-02-01,United States,Supermarkets & Grocery,108.4686212745336
2006-03-01,Australia,Clothing & Footwear,71.6856258300649
2006-03-01,Australia,Department Stores,88.96363344223664
2006-03-01,Australia,Nonstore / Online,64.86896816842535
2006-03-01,Australia,Supermarkets & Grocery,62.99008626933144
2006-03-01,Great Britain,Building Materials & Garden,96.87310888260636
2006-03-01,Great Britain,Clothing & Footwear,89.61738893425965
2006-03-01,Great Britain,Department Stores,83.57228474894788
2006-03-01,Great Britain,Electronics & Appliances,117.5955806
2006-03-01,Great Britain,Nonstore/Online,50.63251012810112
2006-03-01,Great Britain,Supermarkets & Grocery,86.35314304783998
2006-03-01,New Zealand,Building Materials & Garden,99.86749064812318
2006-03-01,New Zealand,Clothing & Footwear,84.90100859170714
2006-03-01,New Zealand,Department Stores,83.68185799959569
2006-03-01,New Zealand,Nonstore / Online,57.24360061027293
2006-03-01,New Zealand,Supermarkets & Grocery,99.66066328735076
2006-03-01,United States,Building Materials & Garden,109.4136176399322
2006-03-01,United States,Clothing & Footwear,109.4136176399322
2006-03-01,United States,Department Stores,109.4136176399322
2006-03-01,United States,Electronics & Appliances,109.4136176399322
2006-03-01,United States,Nonstore / Online,109.4136176399322
2006-03-01,United States,Supermarkets & Grocery,109.4136176399322
2006-04-01,Australia,Clothing & Footwear,73.03949221127067
2006-04-01,Australia,Department Stores,92.02292324995986
2006-04-01,Australia,Nonstore / Online,66.54193237584761
2006-04-01,Australia,Supermarkets & Grocery,63.16491556654461
2006-04-01,Great Britain,Building Materials & Garden,78.55840148656243
2006-04-01,Great Britain,Clothing & Footwear,71.84576498164354
2006-04-01,Great Britain,Department Stores,67.07971749869547
2006-04-01,Great Britain,Electronics & Appliances,95.83299506
2006-04-01,Great Britain,Nonstore/Online,38.66275654537919
2006-04-01,Great Britain,Supermarkets & Grocery,68.11958312
2006-04-01,New Zealand,Building Materials & Garden,101.1198799207289
2006-04-01,New Zealand,Clothing & Footwear,87.48812636746892
2006-04-01,New Zealand,Department Stores,85.18227353383796
2006-04-01,New Zealand,Nonstore / Online,57.7725038142058
2006-04-01,New Zealand,Supermarkets & Grocery,101.2635550262933
2006-04-01,United States,Building Materials & Garden,109.5226556820935
2006-04-01,United States,Clothing & Footwear,109.5226556820935
2006-04-01,United States,Department Stores,109.5226556820935
2006-04-01,United States,Electronics & Appliances,109.5226556820935
2006-04-01,United States,Nonstore / Online,109.5226556820935
2006-04-01,United States,Supermarkets & Grocery,109.5226556820935
2006-05-01,Australia,Clothing & Footwear,72.59175687260418
2006-05-01,Australia,Department Stores,88.57800867655725
2006-05-01,Australia,Nonstore / Online,66.44558365185993
2006-05-01,Australia,Supermarkets & Grocery,63.54691252808553
2006-05-01,Great Britain,Building Materials & Garden,78.58983791583785
2006-05-01,Great Britain,Clothing & Footwear,74.04297422031401
2006-05-01,Great Britain,Department Stores,66.64907752302993
2006-05-01,Great Britain,Electronics & Appliances,95.63510749
2006-05-01,Great Britain,Nonstore/Online,39.54526937557469
2006-05-01,Great Britain,Supermarkets & Grocery,68.99939812144989
2006-05-01,New Zealand,Building Materials & Garden,101.1198799207289
2006-05-01,New Zealand,Clothing & Footwear,87.48812636746892
2006-05-01,New Zealand,Department Stores,85.18227353383796
2006-05-01,New Zealand,Nonstore / Online,57.7725038142058
2006-05-01,New Zealand,Supermarkets & Grocery,101.2635550262933
2006-05-01,United States,Building Materials & Garden,108.7715047249818
2006-05-01,United States,Clothing & Footwear,108.7715047249818
2006-05-01,United States,Department Stores,108.7715047249818
2006-05-01,United States,Electronics & Appliances,108.7715047249818
2006-05-01,United States,Nonstore / Online,108.7715047249818
2006-05-01,United States,Supermarkets & Grocery,108.7715047249818
2006-06-01,Australia,Clothing & Footwear,73.47656718473078
2006-06-01,Australia,Department Stores,90.85319479406569
2006-06-01,Australia,Nonstore / Online,67.25432900169582
2006-06-01,Australia,Supermarkets & Grocery,64.21490192379599
2006-06-01,Great Britain,Building Materials & Garden,98.57463397799022
2006-06-01,Great Britain,Clothing & Footwear,91.60949034617131
2006-06-01,Great Britain,Department Stores,80.94425201734875
2006-06-01,Great Britain,Electronics & Appliances,121.44896977009394
2006-06-01,Great Britain,Nonstore/Online,49.99651280195994
2006-06-01,Great Britain,Supermarkets & Grocery,88.09338351486434
2006-06-01,New Zealand,Building Materials & Garden,101.1198799207289
2006-06-01,New Zealand,Clothing & Footwear,87.48812636746892
2006-06-01,New Zealand,Department Stores,85.18227353383796
2006-06-01,New Zealand,Nonstore / Online,57.7725038142058
2006-06-01,New Zealand,Supermarkets & Grocery,101.2635550262933
2006-06-01,United States,Building Materials & Garden,108.6382360067846
2006-06-01,United States,Clothing & Footwear,108.6382360067846
2006-06-01,United States,Department Stores,108.6382360067846
2006-06-01,United States,Electronics & Appliances,108.6382360067846
2006-06-01,United States,Nonstore / Online,108.6382360067846
2006-06-01,United States,Supermarkets & Grocery,108.6382360067846
2006-07-01,Australia,Clothing & Footwear,73.83901960174651
2006-07-01,Australia,Department Stores,90.3968721546784
2006-07-01,Australia,Nonstore / Online,66.59448622529543
2006-07-01,Australia,Supermarkets & Grocery,64.17751068681976
2006-07-01,Great Britain,Building Materials & Garden,77.90035408209093
2006-07-01,Great Britain,Clothing & Footwear,74.0266746
2006-07-01,Great Britain,Department Stores,66.30127143353023
2006-07-01,Great Britain,Electronics & Appliances,92.94213672001165
2006-07-01,Great Britain,Nonstore/Online,37.73850295802763
2006-07-01,Great Britain,Supermarkets & Grocery,71.13596512193604
2006-07-01,New Zealand,Building Materials & Garden,107.6843697597242
2006-07-01,New Zealand,Clothing & Footwear,89.84470889588559
2006-07-01,New Zealand,Department Stores,84.19397587655263
2006-07-01,New Zealand,Nonstore / Online,57.3656551957959
2006-07-01,New Zealand,Supermarkets & Grocery,101.8041753169426
2006-07-01,United States,Building Materials & Garden,109.0380421613763
2006-07-01,United States,Clothing & Footwear,109.0380421613763
2006-07-01,United States,Department Stores,109.0380421613763
2006-07-01,United States,Electronics & Appliances,109.0380421613763
2006-07-01,United States,Nonstore / Online,109.0380421613763
2006-07-01,United States,Supermarkets & Grocery,109.0380421613763
2006-08-01,Australia,Clothing & Footwear,74.91038630498416
